127.0.0.1, 2019-03-19 19:54:24, GET, /admin/default/index, HTTP/1.1, 303, 0.008973
127.0.0.1, 2019-03-19 19:54:25, GET, /admin/default/site, HTTP/1.1, 200, 0.599518
127.0.0.1, 2019-03-19 19:54:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.140604
127.0.0.1, 2019-03-19 19:58:27, GET, /admin/default/site, HTTP/1.1, 200, 0.534985
127.0.0.1, 2019-03-19 19:58:55, POST, /admin/default/site, HTTP/1.1, 303, 0.529416
127.0.0.1, 2019-03-19 19:58:56, GET, /admin/default/design/clock, HTTP/1.1, 200, 1.317348
127.0.0.1, 2019-03-19 19:58:56, GET, /admin/static/_2.18.4/images/search.png, HTTP/1.1, 200, 0.001240
127.0.0.1, 2019-03-19 19:58:56, GET, /admin/static/_2.18.4/images/help.png, HTTP/1.1, 200, 0.001460
127.0.0.1, 2019-03-19 19:58:56, GET, /admin/static/_2.18.4/images/delete_icon.png, HTTP/1.1, 200, 0.001513
127.0.0.1, 2019-03-19 19:58:56, GET, /admin/static/_2.18.4/images/test_icon.png, HTTP/1.1, 200, 0.003891
127.0.0.1, 2019-04-07 16:29:02, HEAD, /, HTTP/1.1, 303, 0.001909
127.0.0.1, 2019-04-07 16:29:03, HEAD, /welcome/default/index, HTTP/1.1, 200, 0.675781
127.0.0.1, 2019-04-07 16:29:06, GET, /, HTTP/1.1, 303, 0.001361
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.151081
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.005344
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.003234
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.009511
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002834
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.009456
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001625
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001912
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.005002
127.0.0.1, 2019-04-07 16:29:06, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.003347
127.0.0.1, 2019-04-07 16:29:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.005672
127.0.0.1, 2019-04-07 16:29:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 304, 0.001515
127.0.0.1, 2019-04-07 16:29:29, GET, /welcome/default/grid/auth_user, HTTP/1.1, 303, 0.093805
127.0.0.1, 2019-04-07 16:29:29, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.171441
127.0.0.1, 2019-04-07 16:29:33, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.231032
127.0.0.1, 2019-04-07 16:29:38, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.181658
127.0.0.1, 2019-04-07 16:29:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.173703
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/default/index, HTTP/1.1, 200, 0.085374
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.003314
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.001807
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.008349
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.001505
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.003380
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.002992
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.001720
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.007984
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.004431
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.008009
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.011301
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.003583
127.0.0.1, 2019-04-07 16:29:43, GET, /examples/static/images/favicon.ico, HTTP/1.1, 304, 0.002120
127.0.0.1, 2019-04-07 16:29:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.124822
127.0.0.1, 2019-04-07 16:29:49, GET, /admin/default/index, HTTP/1.1, 200, 0.786075
127.0.0.1, 2019-04-07 16:29:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001141
127.0.0.1, 2019-04-07 16:29:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.122624
127.0.0.1, 2019-04-07 16:30:22, HEAD, /, HTTP/1.1, 303, 0.001609
127.0.0.1, 2019-04-07 16:30:22, HEAD, /welcome/default/index, HTTP/1.1, 200, 0.115858
127.0.0.1, 2019-04-07 16:30:23, GET, /, HTTP/1.1, 303, 0.001412
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.137159
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002974
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001814
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.010045
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.007015
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.002004
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.006807
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002368
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.002603
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.003311
127.0.0.1, 2019-04-07 16:30:24, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001171
127.0.0.1, 2019-04-07 16:30:28, GET, /admin/default/index, HTTP/1.1, 200, 0.644903
127.0.0.1, 2019-04-07 16:30:32, POST, /admin/default/index, HTTP/1.1, 303, 0.472745
127.0.0.1, 2019-04-07 16:30:33, GET, /admin/default/site, HTTP/1.1, 200, 0.629642
127.0.0.1, 2019-04-07 16:30:34, POST, /admin/default/check_version, HTTP/1.1, 200, 0.843375
127.0.0.1, 2019-04-08 19:24:16, HEAD, /, HTTP/1.1, 303, 0.002143
127.0.0.1, 2019-04-08 19:24:17, HEAD, /welcome/default/index, HTTP/1.1, 200, 0.742718
127.0.0.1, 2019-04-08 19:24:19, GET, /, HTTP/1.1, 303, 0.002248
127.0.0.1, 2019-04-08 19:24:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.155953
127.0.0.1, 2019-04-08 19:24:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.005657
127.0.0.1, 2019-04-08 19:24:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003359
127.0.0.1, 2019-04-08 19:24:20, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.007601
127.0.0.1, 2019-04-08 19:24:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.013834
127.0.0.1, 2019-04-08 19:24:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.008897
127.0.0.1, 2019-04-08 19:24:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.005019
127.0.0.1, 2019-04-08 19:24:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.004123
127.0.0.1, 2019-04-08 19:24:20, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.003758
